9820,14,26,53,63,73,82,62,101,87,17,21,24,27,22,55,69,118
8194,11,13,13,10,15,25,20,18,20,10,23,18,19,15,51,0,0
7851,21,23,26,27,25,32,26,27,30,44,32,34,56,32,35,25,44
6615,4,6,4,7,13,6,12,15,10,5,9,11,15,21,0,39,14
8199,13,15,12,11,10,16,15,13,13,15,18,21,15,25,31,0,18
2732,6,1,7,15,20,20,23,21,16,18,30,30,23,24,54,56,17
7853,1,3,4,4,3,3,2,5,3,2,3,0,4,3,0,0,0
3075,0,0,0,0,0,37,38,31,36,16,25,22,24,32,84,21,50
7513,62,62,48,90,80,61,62,78,61,56,110,105,102,115,90,110,143
4843,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
6207,9,13,33,19,13,9,7,6,19,8,10,9,10,13,76,62,18
7938,0,0,0,0,0,1,6,2,8,6,3,4,6,4,44,12,0
9617,0,0,0,0,0,0,1,1,2,0,1,1,2,0,0,0,0
3080,0,0,0,0,0,12,20,12,9,15,12,21,17,16,0,0,28
2100,9,10,7,17,16,16,19,8,14,8,7,10,7,6,0,0,0
2101,0,0,0,0,0,21,41,27,41,16,31,38,27,20,53,20,9
2102,12,11,10,16,14,5,10,17,13,8,19,17,11,7,0,32,9
2104,26,18,17,31,48,29,13,21,25,22,15,26,31,25,29,0,23
2109,8,8,9,9,14,11,15,10,12,6,2,9,5,3,31,32,39
6206,0,0,0,0,0,0,1,1,0,4,0,3,3,6,0,0,0
2111,28,31,23,39,36,17,23,14,23,14,17,15,11,8,36,0,21
8020,38,46,32,59,35,58,63,61,38,31,37,50,37,27,32,0,32
2114,31,25,29,35,52,44,45,45,44,30,32,35,38,18,36,20,53
6211,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0
7299,50,57,76,81,96,77,90,98,89,91,85,92,101,104,147,375,104
6213,3,6,5,7,12,12,13,7,17,11,5,20,17,22,16,38,18
6218,45,32,39,54,26,10,13,14,8,14,17,9,16,17,61,66,38
6219,0,0,0,0,0,6,6,11,5,10,5,14,14,8,18,0,13
2124,13,4,10,26,27,28,18,24,26,29,28,37,24,29,29,26,17
6221,0,0,0,0,0,15,17,36,10,21,13,15,17,42,20,19,0
2126,0,0,0,0,0,17,24,22,22,33,32,44,40,51,60,73,40
6223,0,0,0,0,0,1,1,4,2,3,1,3,0,2,0,0,0
6224,0,0,0,0,0,0,9,3,2,2,1,3,0,3,0,0,0
2129,5,7,3,12,17,11,8,8,11,5,8,7,10,9,0,0,0
2403,8,10,6,10,13,1,7,14,26,33,27,30,29,20,23,23,18
9623,0,0,0,0,0,11,9,6,13,9,9,12,5,12,0,0,19
5134,15,14,14,17,19,8,18,18,15,8,16,17,10,8,0,0,17
2134,32,31,50,42,60,31,60,48,58,35,24,23,23,12,108,41,0
8118,0,0,0,0,0,112,152,137,158,173,183,205,191,176,320,326,433
2139,24,37,24,36,36,27,33,21,21,18,17,21,23,9,52,70,57
2144,10,4,6,9,8,9,8,4,9,5,6,9,12,14,17,15,0
6959,1,3,0,0,1,1,1,0,0,1,1,2,2,1,0,0,0
4845,47,16,49,35,59,28,39,18,53,15,25,17,28,12,0,0,64
2149,20,17,33,28,46,24,26,49,28,28,33,19,14,20,0,21,39
4515,0,0,0,0,0,3,10,3,7,5,5,3,7,1,0,0,0
2151,8,3,6,6,12,3,11,12,9,17,15,18,15,21,17,15,0
2152,12,11,16,14,20,13,10,10,8,24,15,13,10,16,0,15,0
2748,8,12,12,10,18,15,7,15,6,5,6,7,5,5,0,0,33
2154,19,17,33,27,16,24,12,10,19,8,4,10,10,5,0,0,0
4203,30,16,12,21,30,4,11,8,17,6,8,10,15,3,0,0,32
2159,16,14,23,19,26,13,21,37,31,17,16,20,13,12,31,0,29
2162,29,23,20,19,31,13,22,8,27,14,11,11,14,6,17,0,0
4211,15,8,14,3,15,3,15,6,10,1,7,1,8,4,0,0,0
2164,74,74,62,67,84,39,63,75,83,52,53,66,56,35,72,45,77
